cbg,SVI_Texas,SVI_local,geometry
481130164182,0.21587215601300114,0.20801033591731266,"list(list(c(-97.036295, -97.036077, -97.035996, -97.025221, -97.024809, -97.024856, -97.024551, -97.029308, -97.036327, -97.036295, 32.693227, 32.706125, 32.711097, 32.710015, 32.709974, 32.701029, 32.691761, 32.691264, 32.691321, 32.693227)))"
481130190193,0.9200433369447454,0.8791989664082688,"list(list(c(-96.711487, -96.70693, -96.70588, -96.705765, -96.705772, -96.705004, -96.705168, -96.705763, -96.706278, -96.708704, -96.708857, -96.710849, -96.711487, 32.919327, 32.916761, 32.916604, 32.916601, 32.912963, 32.912931, 32.908847, 32.908737, 32.909098, 32.909146, 32.910316, 32.917149, 32.919327)))"
481130165112,0.8747020585048754,0.7965116279069767,"list(list(c(-96.955169, -96.953912, -96.953749, -96.953256, -96.950441, -96.944578, -96.943239, -96.942661, -96.942812, -96.943672, -96.94805, -96.952556, -96.952733, -96.956696, -96.955169, 32.627408, 32.627401, 32.627398, 32.627414, 32.627398, 32.626063, 32.626115, 32.62413, 32.61984, 32.618153, 32.619681, 32.619853, 32.620762, 32.626455, 32.627408)))"
481130181351,0.5560671722643553,0.44573643410852715,"list(list(c(-96.544225, -96.5429, -96.542875, -96.540763, -96.540336, -96.536914, -96.531437, -96.531228, -96.526866, -96.52358, -96.518304, -96.518324, -96.518402, -96.522661, -96.533715, -96.540754, -96.543449, -96.544225, 32.886502, 32.891597, 32.891696, 32.891678, 32.891678, 32.891657, 32.891637, 32.887773, 32.883377, 32.881261, 32.881009, 32.879534, 32.876468, 32.874512, 32.869756, 32.872498, 32.877122, 32.886502)))"
481130063013,0.6823401950162513,0.6543927648578811,"list(list(c(-96.857113, -96.857085, -96.849198, -96.848622, -96.848662, -96.848573, -96.848629, -96.85701, -96.857183, -96.857113, 32.716808, 32.720221, 32.720208, 32.720281, 32.714542, 32.713005, 32.70583, 32.705812, 32.70581, 32.716808)))"
481130181451,0.022535211267605604,0.02454780361757103,"list(list(c(-96.569597, -96.569437, -96.56119, -96.557835, -96.556699, -96.557579, -96.563066, -96.565884, -96.569643, -96.569597, 32.893859, 32.893857, 32.89369, 32.892159, 32.89185, 32.886133, 32.88157, 32.883463, 32.883009, 32.893859)))"
481130093031,0.8812567713976165,0.8753229974160207,"list(list(c(-96.71769, -96.709003, -96.709007, -96.717763, -96.71769, 32.727088, 32.727065, 32.719724, 32.719792, 32.727088)))"
481130130081,0.09079089924160344,0.10658914728682167,"list(list(c(-96.730645, -96.729514, -96.726092, -96.721868, -96.720929, -96.717887, -96.71791, -96.717922, -96.717936, -96.721898, -96.730599, -96.731089, -96.730645, 32.888016, 32.889255, 32.891044, 32.894548, 32.895072, 32.896138, 32.893017, 32.892528, 32.886007, 32.886411, 32.886066, 32.886032, 32.888016)))"
481130123021,0.9598049837486458,0.9412144702842378,"list(list(c(-96.684314, -96.680989, -96.676967, -96.6736, -96.673547, -96.682749, -96.682889, -96.683842, -96.684314, 32.812445, 32.812783, 32.809828, 32.809344, 32.807094, 32.807137, 32.807573, 32.809288, 32.812445)))"
481130131011,0.25368364030335866,0.2280361757105943,"list(list(c(-96.788324, -96.774825, -96.769158, -96.769197, -96.769464, -96.7709, -96.775118, -96.77962, -96.78264, -96.787861, -96.788324, 32.89961, 32.901076, 32.901775, 32.898713, 32.898724, 32.898646, 32.896628, 32.894995, 32.894755, 32.894824, 32.89961)))"
481130144102,0.404442036836403,0.375968992248062,"list(list(c(-97.016697, -97.01669, -97.009553, -97.009559, -97.012999, -97.013244, -97.01736, -97.016697, 32.829826, 32.837108, 32.837103, 32.836022, 32.836191, 32.824512, 32.823972, 32.829826)))"
481130138071,0.09821235102925241,0.09883720930232553,"list(list(c(-96.868369, -96.86733, -96.867192, -96.86451, -96.862968, -96.862962, -96.859067, -96.855937, -96.855929, -96.855951, -96.855989, -96.864502, -96.864909, -96.868385, -96.868369, 32.926043, 32.928172, 32.931178, 32.931188, 32.931151, 32.932159, 32.933844, 32.933678, 32.933543, 32.925323, 32.924231, 32.924346, 32.924369, 32.924332, 32.926043)))"
481130072042,0.9859696641386783,0.9922480620155039,"list(list(c(-96.878059, -96.874591, -96.872867, -96.870011, -96.867832, -96.865705, -96.864828, -96.869015, -96.871361, -96.873075, -96.873776, -96.875409, -96.877767, -96.878059, 32.859809, 32.86251, 32.863481, 32.860982, 32.859088, 32.857188, 32.855945, 32.855195, 32.856163, 32.857556, 32.857932, 32.858373, 32.858362, 32.859809)))"
481130078253,0.4596424702058505,0.4431524547803618,"list(list(c(-96.728503, -96.724448, -96.728344, -96.728776, -96.728503, 32.894568, 32.894588, 32.89137, 32.89224, 32.894568)))"
481130136262,0.3854279523293608,0.3456072351421189,"list(list(c(-96.822086, -96.817927, -96.814031, -96.813714, -96.818059, -96.818074, -96.82211, -96.822086, 32.939495, 32.939413, 32.939414, 32.936159, 32.936115, 32.932924, 32.932907, 32.939495)))"
481130178143,0.7836403033586132,0.686046511627907,"list(list(c(-96.612248, -96.611857, -96.611885, -96.610644, -96.602634, -96.598108, -96.59591, -96.595897, -96.60135, -96.606798, -96.612085, -96.612238, -96.612248, 32.792983, 32.795888, 32.797303, 32.797659, 32.797673, 32.797663, 32.797638, 32.790419, 32.791423, 32.792461, 32.792524, 32.792701, 32.792983)))"
